Earthquake catalog from the bulletin of National Seismological Center, Department of Mines and Geology, Kathmandu, Nepal.

(Date in AD and time in UTC)

     Date        Time      Latitude     Longitude    Magnitude    Epicenter
2015-05-18      06:27      28.11        84.88         4.1          Dhading
2015-05-17      11:30      27.48        85.87         4.6          Ramechhap
2015-05-17      08:40      27.84        86.24         4.4          Dolakha
2015-05-17      05:00      27.73        86.06         4.4          Dolakha
2015-05-16      09:35      27.45        85.31         4.2          Lalitpur
2015-05-16      09:24      27.7        85.85         4.2          Sindhupalchowk
2015-05-16      08:44      27.64        86.14         4.3          Dolakha
2015-05-16      06:31      28.13        84.89         4          Gorkha
2015-05-16      06:11      27.97        85.48         4          Nuwakot
2015-05-16      05:19      27.6        86.26         5.5          Dolakha
2015-05-16      04:38      27.66        86.09         4.1          Dolakha
2015-05-16      04:28      27.65        86.12         4.1          Dolakha
2015-05-16      02:15      28.07        84.7         4          Gorkha
2015-05-15      10:58      27.74        86.17         4          Dolakha
2015-05-15      10:51      27.92        84.84         4          Dhading
2015-05-15      07:27      27.93        84.84         5.5          Dhading
2015-05-15      04:06      27.69        86.08         4.3          Dolakha
2015-05-15      03:38      27.63        86.25         4.1          Dolakha
2015-05-15      03:09      27.61        86.2         4.5          Dolakha
2015-05-14      12:16      27.92        86.31         4.3          Dolakha
2015-05-14      09:40      27.84        85.84         4          Sindhupalchowk
2015-05-14      09:06      27.83        86.15         4.5          Dolakha
2015-05-14      08:52      27.8        85.82         4          Sindupalchok
2015-05-14      08:50      27.71        86.04         4          Dolakha
2015-05-14      08:21      28.06        85.35         4.5          Rasuwa
2015-05-14      07:43      27.75        86.14         4          Dolakha
2015-05-14      03:23      27.67        86.08         5          Dolakha
2015-05-14      03:20      27.62        86.09         4.2          Dolakha
2015-05-14      03:13      27.66        86.07         4.1          Dolakha
2015-05-13      12:38      27.68        86.17         5.1          Dolakha
2015-05-13      12:34      27.84        86.25         4.6          Dolakha
2015-05-13      12:22      27.79        86.07         4.8          Dolakha
2015-05-13      12:11      27.69        86.11         4.7          Sindhupalchok
2015-05-13      10:33      27.79        86.19         4.6          Dolakha
2015-05-13      09:36      27.7        86.15         4.1          Dolakha
2015-05-13      09:21      27.64        85.7         4          Kavrepalanchok
2015-05-13      08:28      27.75        86.25         4.4          Dolakha
2015-05-13      08:08      27.65        86.18         4.4          Dolakha
2015-05-13      04:44      27.63        86.17         4.5          Dolakha
2015-05-13      04:38      27.82        86.47         4.3          Dolakha
2015-05-13      03:42      27.85        85.92         4.2          Sindhupalchok
2015-05-13      03:37      27.85        86.29         4          Dolakha
2015-05-13      03:10      27.91        84.82         5.9          Dhading
2015-05-13      02:30      27.6        86.16         4.3          Dolakha
2015-05-13      02:07      27.68        85.3         4.2          Kathmandu
2015-05-12      3:14 PM      27.7        86.01         4.2          Dolakha
2015-05-12      2:47 PM      27.8        86.12         4.7          Dolakha
2015-05-12      2:24 PM      27.69        86.21         4.7          Dolakha
2015-05-12      2:20 PM      27.68        86.23         4.7          Dolakha
2015-05-12      2:19 PM      27.88        85.94         4.8          Sindhupalchok
2015-05-12      2:09 PM      27.79        86.11         5          Dolakha
2015-05-12      2:06 PM      27.66        86.17         5.2          Dolakha
2015-05-12      12:07      28.1        84.91         4          Dhading
2015-05-12      11:13      27.58        86.41         4.3          Ramechhap
2015-05-12      10:17      27.68        86.04         4.2          Dolakha
2015-05-12      09:13      27.97        86.45         4.8          Tibet
2015-05-12      08:44      28.03        86.36         4.1          Tibet
2015-05-12      07:42      27.84        86.23         4.4          Dolakha
2015-05-12      07:36      27.73        86.21         6.2          Dolakha
2015-05-12      07:28      27.78        85.85         4.3          Sindhupalchok
2015-05-12      07:05      27.82        86.12         6.8          Dolakha
2015-05-12      06:53      27.72        85.97         4          Dolakha
2015-05-12      06:47      27.89        85.88         4.4          Sindhupalchok
2015-05-12      06:13      27.7        86.04         4.7          Dolakha
2015-05-12      05:43      27.71        86         4.3          Dolakha
